GEOID,tract_name,population
17029000702,Census Tract 7.02,2767
17113000109,Census Tract 1.09,6001
17113000507,Census Tract 5.07,2779
17177001100,Census Tract 11,3224
17007010101,Census Tract 101.01,4396
17033880400,Census Tract 8804,2870
17033880300,Census Tract 8803,3338
17033880100,Census Tract 8801,2656
17033880600,Census Tract 8806,2910
17031040100,Census Tract 401,3905
17117957200,Census Tract 9572,4676
17117956700,Census Tract 9567,4011
17117956800,Census Tract 9568,2664
17117956300,Census Tract 9563,3073
17117956100,Census Tract 9561,3099
17117956600,Census Tract 9566,4575
17117956200,Census Tract 9562,2333
17031815200,Census Tract 8152,6901
17031815300,Census Tract 8153,3756
17197883602,Census Tract 8836.02,5508
17031823705,Census Tract 8237.05,4666
17197881105,Census Tract 8811.05,7543
17197880502,Census Tract 8805.02,4998
17031800200,Census Tract 8002,6466
17097861402,Census Tract 8614.02,8778
17033880500,Census Tract 8805,3414
17097864402,Census Tract 8644.02,8168
17097864403,Census Tract 8644.03,5852
17043841604,Census Tract 8416.04,4169
17097861303,Census Tract 8613.03,4778
17097861304,Census Tract 8613.04,3368
17031822302,Census Tract 8223.02,4447
17031822500,Census Tract 8225,4496
17031031300,Census Tract 313,6719
17033880200,Census Tract 8802,3491
17031816300,Census Tract 8163,4778
17089850400,Census Tract 8504,2553
17097864409,Census Tract 8644.09,4572
17031822301,Census Tract 8223.01,4088
17167002900,Census Tract 29,4921
17167003604,Census Tract 36.04,5750
17097864408,Census Tract 8644.08,6232
17097863100,Census Tract 8631,2563
17167003801,Census Tract 38.01,2559
17167003902,Census Tract 39.02,3953
17097864407,Census Tract 8644.07,6632
17031808500,Census Tract 8085,4239
17031191000,Census Tract 1910,2422
17097861403,Census Tract 8614.03,2556
17097861404,Census Tract 8614.04,5947
17031770400,Census Tract 7704,4375
17031800100,Census Tract 8001,2395
17031805108,Census Tract 8051.08,6400
17031160700,Census Tract 1607,5766
17043846305,Census Tract 8463.05,5687
17043841205,Census Tract 8412.05,4506
17031221300,Census Tract 2213,3062
17031221500,Census Tract 2215,2909
17043842100,Census Tract 8421,5891
17043844701,Census Tract 8447.01,4265
17043842000,Census Tract 8420,4400
17031805402,Census Tract 8054.02,5467
17031805501,Census Tract 8055.01,3998
17031410900,Census Tract 4109,3670
17031411000,Census Tract 4110,3902
17031411100,Census Tract 4111,2379
17031411200,Census Tract 4112,1713
17031800300,Census Tract 8003,3613
17031381700,Census Tract 3817,18
17043841603,Census Tract 8416.03,4709
17043840104,Census Tract 8401.04,6031
17031821600,Census Tract 8216,4542
17031821700,Census Tract 8217,4859
17031440300,Census Tract 4403,4677
17043844601,Census Tract 8446.01,3627
17115002100,Census Tract 21,1270
17119400904,Census Tract 4009.04,3162
17031810900,Census Tract 8109,6360
17031811000,Census Tract 8110,4258
17031271500,Census Tract 2715,1373
17031740100,Census Tract 7401,3234
17031740200,Census Tract 7402,5830
17031740300,Census Tract 7403,4869
17031812500,Census Tract 8125,3680
17031610300,Census Tract 6103,5410
17031681000,Census Tract 6810,2573
17031681100,Census Tract 6811,2873
17013951300,Census Tract 9513,2131
17013951200,Census Tract 9512,2306
17031805106,Census Tract 8051.06,2778
17031805107,Census Tract 8051.07,6793
17001000400,Census Tract 4,3793
17031380100,Census Tract 3801,2207
17031380200,Census Tract 3802,2408
17031611300,Census Tract 6113,3668
17031611400,Census Tract 6114,3737
17031750600,Census Tract 7506,3420
17031560400,Census Tract 5604,1630
17031730700,Census Tract 7307,2281
17031610800,Census Tract 6108,1512
17031812400,Census Tract 8124,3458
17073030900,Census Tract 309,3570
17073030400,Census Tract 304,2482
17073031100,Census Tract 311,2613
17031381200,Census Tract 3812,2077
17031381400,Census Tract 3814,1796
